Hepes_treatment,time(days),rep1,rep2,rep3,rep4,rep5,rep6,OriSource,Seawater.Percent,Light
0.01,0.00,988.57,937.51,990.65,981.63,970.35,996.49,Morris_2013_f1a,100,65
0.01,1.00,706.98,696.98,680.67,723.95,693.71,699.07,Morris_2013_f1a,100,65
0.01,3.00,975.43,954.96,900.76,973.13,939.06,914.68,Morris_2013_f1a,100,65
0.01,6.00,1077.10,1119.90,1020.86,1101.99,1095.64,1025.02,Morris_2013_f1a,100,65
0.01,10.00,1413.51,1144.96,1057.20,979.32,1144.82,1059.47,Morris_2013_f1a,100,65
0.01,15.00,622.84,698.63,605.01,686.22,745.08,626.74,Morris_2013_f1a,100,65
0.01,20.00,1262.22,1317.51,1092.41,1280.27,1360.22,1113.81,Morris_2013_f1a,100,65
0.01,25.00,1383.25,1428.07,1299.69,1335.34,1466.86,1352.70,Morris_2013_f1a,100,65
0.01,30.00,1326.98,1515.52,1271.35,1255.92,1464.87,1289.88,Morris_2013_f1a,100,65
0.01,35.00,1695.52,2060.54,1618.13,1631.98,1974.03,1772.20,Morris_2013_f1a,100,65
0.03,0.00,962.62,973.08,964.44,979.94,970.90,969.85,Morris_2013_f1a,100,65
0.03,1.00,722.93,711.72,695.43,712.53,721.13,703.82,Morris_2013_f1a,100,65
0.03,3.00,1013.90,994.27,948.44,987.53,965.03,958.03,Morris_2013_f1a,100,65
0.03,6.00,1113.82,1162.35,1109.16,1092.76,1164.64,1084.52,Morris_2013_f1a,100,65
0.03,10.00,1351.71,1188.37,1040.05,1320.57,1138.40,1038.25,Morris_2013_f1a,100,65
0.03,15.00,798.77,823.85,539.26,780.18,848.45,591.90,Morris_2013_f1a,100,65
0.03,20.00,1405.09,1391.58,1082.31,1423.87,1619.59,1038.48,Morris_2013_f1a,100,65
0.03,25.00,1567.97,1725.64,1229.73,1648.06,1727.09,1201.12,Morris_2013_f1a,100,65
0.03,30.00,1654.31,1749.32,965.41,1639.72,1562.39,1183.42,Morris_2013_f1a,100,65
0.03,35.00,2215.99,2188.30,1691.40,2064.73,2215.86,1564.04,Morris_2013_f1a,100,65
0.05,0.00,967.43,924.71,964.87,983.81,978.65,956.47,Morris_2013_f1a,100,65
0.05,1.00,728.27,693.49,704.71,735.18,737.44,704.23,Morris_2013_f1a,100,65
0.05,3.00,1050.29,1063.22,996.64,1002.09,1071.41,1022.60,Morris_2013_f1a,100,65
0.05,6.00,1283.50,1294.07,1241.86,1334.19,1302.84,1235.58,Morris_2013_f1a,100,65
0.05,10.00,1767.14,1402.86,1033.39,1566.43,1506.19,1277.12,Morris_2013_f1a,100,65
0.05,15.00,1034.83,1114.91,849.43,1108.34,1174.29,955.38,Morris_2013_f1a,100,65
0.05,20.00,1999.18,1969.90,1676.21,2003.00,1972.13,1660.55,Morris_2013_f1a,100,65
0.05,25.00,2366.23,2298.21,1959.33,2322.46,2094.13,2007.67,Morris_2013_f1a,100,65
0.05,30.00,2431.90,2446.99,2041.58,2555.09,2378.97,2019.08,Morris_2013_f1a,100,65
0.05,35.00,2784.29,2825.94,2623.83,3072.14,3074.50,2676.93,Morris_2013_f1a,100,65
0.10,0.00,968.76,938.92,942.95,953.41,968.18,953.96,Morris_2013_f1a,100,65
0.10,1.00,845.06,763.39,725.47,797.75,725.70,737.72,Morris_2013_f1a,100,65
0.10,3.00,1230.28,1088.11,1152.55,1155.07,1081.50,1135.83,Morris_2013_f1a,100,65
0.10,6.00,1547.53,1371.07,1477.04,1505.08,1351.35,1460.95,Morris_2013_f1a,100,65
0.10,10.00,1674.80,1612.65,1668.86,1755.88,1662.06,1694.41,Morris_2013_f1a,100,65
0.10,15.00,1151.41,1182.44,1335.72,1260.69,1251.87,1314.69,Morris_2013_f1a,100,65
0.10,20.00,2144.39,2227.01,2402.59,2167.43,2189.70,2420.62,Morris_2013_f1a,100,65
0.10,25.00,2433.72,2494.21,2835.37,2401.84,2318.92,2873.95,Morris_2013_f1a,100,65
0.10,30.00,2599.52,2627.59,2984.33,2619.45,2637.42,2997.78,Morris_2013_f1a,100,65
0.10,35.00,3226.83,3278.68,3551.23,3311.09,3307.17,3622.50,Morris_2013_f1a,100,65
1.00,0.00,983.21,914.01,972.81,983.03,959.09,962.89,Morris_2013_f1a,100,65
1.00,1.00,1140.21,937.44,1010.04,1088.48,942.95,1022.57,Morris_2013_f1a,100,65
1.00,3.00,2292.92,2210.17,2333.29,2369.01,2292.53,2354.62,Morris_2013_f1a,100,65
1.00,6.00,4041.64,3436.14,3671.02,4082.93,3371.83,3754.29,Morris_2013_f1a,100,65
1.00,10.00,5859.78,5128.89,5778.19,5884.36,5224.45,5802.29,Morris_2013_f1a,100,65
1.00,15.00,5914.84,5129.23,5619.80,5827.70,5138.70,5443.37,Morris_2013_f1a,100,65
1.00,20.00,9387.00,8232.55,9358.05,9743.16,8103.91,9386.80,Morris_2013_f1a,100,65
1.00,25.00,10924.69,9534.45,10701.09,11033.09,9562.48,11155.83,Morris_2013_f1a,100,65
1.00,30.00,12140.25,10456.04,12023.67,12352.84,9327.49,12208.94,Morris_2013_f1a,100,65
1.00,35.00,13816.17,11630.10,12806.42,13846.85,11839.74,13857.35,Morris_2013_f1a,100,65
10.00,0.00,625.81,592.20,668.19,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,2.00,3285.42,2742.89,3579.36,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,5.00,6838.31,6353.39,7612.75,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,7.00,11868.31,10696.74,13113.84,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,16.00,18176.63,17735.21,22048.69,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,21.00,17034.10,15875.55,20895.69,0.00,0.00,0.00,Morris_2013_f1a,100,65
10.00,25.00,21371.48,17728.80,22350.27,0.00,0.00,0.00,Morris_2013_f1a,100,65
