ID,Seawater,Time,organism,rep1,rep2,rep3,rep4,rep5,rep6,OriSource
Bicine,Artificial,0,H,25.63247936,29.31115949,29.64507691,28.98743605,30.51642904,29.28181947,Morris_2013_f1c
Bicine,Artificial,1,H,44.24892551,43.46496209,50.31756642,44.81456887,42.90269343,49.7109768,Morris_2013_f1c
Bicine,Artificial,3,H,44.17568418,39.81861191,61.85508442,44.37675844,38.53711098,63.1199836,Morris_2013_f1c
Bicine,Artificial,8,H,251.476561,184.1423767,214.7543203,221.9528629,145.431065,238.2977062,Morris_2013_f1c
Bicine,Artificial,13,H,432.0258315,326.967184,377.6590065,449.6378744,344.6981437,386.4988003,Morris_2013_f1c
Bicine,Artificial,33,H,1386.527332,847.8979831,1131.748408,1309.322113,827.2940424,1133.293533,Morris_2013_f1c
Control,Artificial,0,H,36.81537511,37.81112481,38.3436954,36.88062691,37.29242217,37.81045211,Morris_2013_f1c
Control,Artificial,1,H,34.8815458,32.65564404,34.81612177,34.89076996,32.28613777,34.06608526,Morris_2013_f1c
Control,Artificial,3,H,20.5355595,3.634279575,24.3827649,21.38819467,4.259663765,22.67401977,Morris_2013_f1c
Control,Artificial,8,H,26.16842399,-35.29024213,-8.187890339,51.81474357,-18.41840592,7.721654679,Morris_2013_f1c
Control,Artificial,13,H,137.9343006,65.69666989,106.8361495,131.8581315,72.98008159,113.8579444,Morris_2013_f1c
Control,Artificial,33,H,108.0143505,-57.17112491,23.26388265,76.9825151,-91.76627816,12.10426558,Morris_2013_f1c
DIPSO,Artificial,0,H,11.89555264,11.59263112,12.41963687,13.67096043,12.23609355,12.15345507,Morris_2013_f1c
DIPSO,Artificial,1,H,69.86099201,57.93748568,71.45812118,70.16804397,59.26886912,69.4141828,Morris_2013_f1c
DIPSO,Artificial,3,H,298.4374061,237.6996983,290.8710219,308.473668,238.9152555,296.7048008,Morris_2013_f1c
DIPSO,Artificial,8,H,1939.420945,1486.584852,1839.679212,1897.476134,1492.161103,1846.367892,Morris_2013_f1c
DIPSO,Artificial,13,H,2644.012997,2058.294841,2543.57688,2691.723339,2095.632791,2501.112193,Morris_2013_f1c
DIPSO,Artificial,33,H,13844.65552,10049.21497,13193.7187,14118.95272,9996.949568,13158.09573,Morris_2013_f1c
Glygly,Artificial,0,H,37.37925208,40.15015084,39.20159356,39.49012967,40.31470336,39.13608303,Morris_2013_f1c
Glygly,Artificial,1,H,27.27170562,24.43471465,37.2877461,27.20295189,25.08971984,37.10101315,Morris_2013_f1c
Glygly,Artificial,3,H,-22.45286634,-31.00593526,1.641760296,-21.16364366,-31.73764789,2.658173692,Morris_2013_f1c
Glygly,Artificial,8,H,6.879272031,-67.55772963,-18.50103197,-4.708527558,-33.19839239,-26.70519408,Morris_2013_f1c
Glygly,Artificial,13,H,48.95224338,25.68071555,38.43334537,47.33782989,16.2101874,59.23235661,Morris_2013_f1c
Glygly,Artificial,33,H,197.8630515,-98.59341809,-71.56393387,-70.29448063,-133.8998736,-75.07960463,Morris_2013_f1c
HEPES,Artificial,0,H,36.10045136,36.75152046,37.77800733,37.5905313,37.20962845,37.10955154,Morris_2013_f1c
HEPES,Artificial,1,H,115.247763,112.695101,113.2064344,116.6265721,112.4355647,111.0921674,Morris_2013_f1c
HEPES,Artificial,3,H,476.6946022,454.5360489,405.8169294,472.7493306,458.7039384,404.2706498,Morris_2013_f1c
HEPES,Artificial,8,H,1786.244342,1594.831022,1607.303525,1767.05293,1590.989919,1713.28554,Morris_2013_f1c
HEPES,Artificial,13,H,2438.406927,2150.408689,2199.108418,2431.895998,2149.416448,2181.187192,Morris_2013_f1c
HEPES,Artificial,33,H,10767.71529,10914.78128,11541.26836,10873.781,10814.36514,11413.1693,Morris_2013_f1c
MOPS,Artificial,0,H,37.75337619,40.21229788,38.93396287,39.32925113,40.34616497,37.89785123,Morris_2013_f1c
MOPS,Artificial,1,H,92.35997274,96.33216506,94.47037005,92.85951713,96.75755622,92.18651358,Morris_2013_f1c
MOPS,Artificial,3,H,404.6124143,417.2373914,391.2819013,401.7990735,418.8564099,393.5022121,Morris_2013_f1c
MOPS,Artificial,8,H,1841.184619,1848.421451,1752.599418,1916.768309,1705.95399,1783.221438,Morris_2013_f1c
MOPS,Artificial,13,H,3105.078834,2941.366651,2952.039665,3089.651053,2964.15395,2905.73254,Morris_2013_f1c
MOPS,Artificial,33,H,25600.40851,20995.58431,23858.90586,22432.04042,20699.00872,23577.47522,Morris_2013_f1c
TAPS,Artificial,0,H,34.95903646,36.04011544,37.55399857,36.92968219,37.26354786,36.87012246,Morris_2013_f1c
TAPS,Artificial,1,H,45.546922,41.23964528,39.05900938,45.34300062,41.66836613,39.77885365,Morris_2013_f1c
TAPS,Artificial,3,H,43.02251866,25.04320581,21.04697072,46.2378536,25.48303645,22.53139913,Morris_2013_f1c
TAPS,Artificial,8,H,27.99123525,2.348946209,-6.07387264,31.17939159,40.11811943,-10.01876267,Morris_2013_f1c
TAPS,Artificial,13,H,110.7366181,88.41927811,82.84921861,117.4929909,98.18281707,88.98246773,Morris_2013_f1c
TAPS,Artificial,33,H,44.87181457,33.90959237,74.09986927,47.5842924,16.22913776,64.111008,Morris_2013_f1c
Tricine,Artificial,0,H,39.89421476,44.5481014,40.54041973,40.67589095,43.8943415,41.18191581,Morris_2013_f1c
Tricine,Artificial,1,H,69.21080137,72.48447747,74.0163176,68.77762592,72.23434531,73.72577913,Morris_2013_f1c
Tricine,Artificial,3,H,194.6581468,222.4064719,221.0948561,192.836587,221.0700693,216.9631044,Morris_2013_f1c
Tricine,Artificial,8,H,669.9281263,745.5037553,638.9937396,627.1066725,754.4767427,669.8606148,Morris_2013_f1c
Tricine,Artificial,13,H,1035.005939,1138.359797,1109.789339,1013.948165,1146.839035,1126.113276,Morris_2013_f1c
Tricine,Artificial,33,H,5091.850325,5700.411913,5749.791261,5260.980294,5641.969417,5795.147838,Morris_2013_f1c
Tris,Artificial,0,H,36.34614172,39.66725648,37.89852393,38.45520819,39.71010223,37.07912485,Morris_2013_f1c
Tris,Artificial,1,H,43.67054832,45.98113235,44.54873314,43.91672085,46.18878839,45.01192085,Morris_2013_f1c
Tris,Artificial,3,H,66.28752093,75.20397521,74.50701044,65.74723038,76.55775168,74.02833941,Morris_2013_f1c
Tris,Artificial,8,H,77.42277303,174.4983045,139.5837606,100.1459442,164.0199108,125.0445988,Morris_2013_f1c
Tris,Artificial,13,H,171.0664035,482.8099333,218.4276062,173.1193818,214.0143686,224.3924692,Morris_2013_f1c
Tris,Artificial,33,H,275.3643629,433.5355136,389.319062,284.6249051,452.8904213,454.2823955,Morris_2013_f1c
Control,Natural,0,H,638.9417132,635.882312,660.5637061,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,2,H,550.9451751,561.9742786,573.6663681,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,5,H,642.3764871,636.6457481,659.120909,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,7,H,369.8743717,319.8611747,368.4338094,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,16,H,-65.2546641,-328.2675903,-45.01976701,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,21,H,-217.9837523,-340.8420076,22.55635952,NAN,NAN,NAN,Morris_2013_f1c
Control,Natural,25,H,-109.1993963,-282.3142755,246.3031375,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,0,H,625.8120519,592.2022775,668.1917204,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,2,H,3285.415889,2742.891738,3579.362203,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,5,H,6838.310169,6353.393278,7612.750326,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,7,H,11868.30788,10696.7408,13113.83788,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,16,H,18176.6259,17735.20517,22048.69005,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,21,H,17034.09865,15875.54671,20895.68862,NAN,NAN,NAN,Morris_2013_f1c
HEPES,Natural,25,H,21371.48157,17728.80082,22350.27461,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,0,H,582.0212666,581.1093669,627.742126,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,2,H,750.844661,842.5459314,738.518443,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,5,H,1122.366032,1357.817186,1223.102676,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,7,H,998.6999373,1307.501248,1119.490459,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,16,H,-505.7053524,811.8007548,34.83133799,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,21,H,-298.9749766,118.9570542,-134.1663536,NAN,NAN,NAN,Morris_2013_f1c
TAPS,Natural,25,H,-307.4469869,-129.2035234,-136.3949477,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,0,H,592.748772,610.3584266,612.0149973,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,2,H,1309.968326,1410.6144,1276.753617,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,5,H,2775.971171,2671.546521,2838.149818,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,7,H,3690.152949,3229.622925,3607.503521,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,16,H,6691.435526,5148.912852,6652.225535,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,21,H,6244.880188,5616.048044,7107.447475,NAN,NAN,NAN,Morris_2013_f1c
Tricine,Natural,25,H,7720.205161,6631.306218,8133.538343,NAN,NAN,NAN,Morris_2013_f1c
Bicine,Natural,0,H,884.4122807,878.225754,876.6238064,886.2546679,898.0893136,888.2312883,Morris_2013_f1c
Bicine,Natural,1,H,853.5520318,768.0398112,846.667665,964.2714936,795.356011,842.2440379,Morris_2013_f1c
