Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource,,,,,,,,,,,,
Control,C,0,100,0,0,1,1,295.7116485,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,1,1,235.0182358,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,1,1,283.2477479,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,1,1,262.0273987,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,1,1,255.5832951,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,1,1,266.3315577,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,1,1,364.1137153,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,1,1,303.8036013,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,1,1,281.7036738,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,1,1,278.0732165,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,1,1,256.1557324,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,1,1,245.1882029,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,0,2,1,320.4285516,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,2,1,325.5896927,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,2,1,288.4850466,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,2,1,269.0497977,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,2,1,273.7288864,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,2,1,245.357256,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,2,1,274.2385564,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,2,1,262.9178566,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,2,1,314.777826,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,2,1,323.1183371,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,2,1,278.8515303,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,2,1,278.4180179,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,0,3,1,269.4339332,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,3,1,257.4269782,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,3,1,289.4968546,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,3,1,306.8432097,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,3,1,1170.020836,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,3,1,271.6006584,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,3,1,290.4450584,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,3,1,282.5255062,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,3,1,290.9589129,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,3,1,276.6262223,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,3,1,268.3819543,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,3,1,275.4771633,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,1,1,1,471.8024038,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,1,1,1,456.4888738,Morris_2013_f1c,,,,,,,,,,,,
