Buffer,Time,organism,rep1,rep2,rep3,rep4,rep5,rep6,OriSource
DIPSO,0,H,54.10455846,39.63481457,63.81836632,42.11026883,52.0724345,34.84058037,Morris_2013_SI1b
DIPSO,1,H,37.93924828,39.47398753,37.77603666,38.50980144,40.61059376,43.45910949,Morris_2013_SI1b
DIPSO,3,H,135.1173363,154.6456129,149.9214792,133.7365771,156.7362977,148.0794215,Morris_2013_SI1b
DIPSO,6,H,87.70059049,134.7875934,139.2897718,86.42916088,136.4305524,138.1852591,Morris_2013_SI1b
DIPSO,10,H,46.82438105,54.27115248,45.22201654,42.11271126,55.54839431,45.28571848,Morris_2013_SI1b
DIPSO,15,H,23.07950035,33.30916044,27.22802145,22.63629821,34.05621529,27.28997443,Morris_2013_SI1b
MOPS,0,H,6.523147664,11.84543235,-10.41392663,9.667079025,6.11231278,-15.93756684,Morris_2013_SI1b
MOPS,1,H,41.3534004,55.29872301,39.94724707,42.57580002,54.56804163,41.04297748,Morris_2013_SI1b
MOPS,3,H,106.5712404,145.7968512,87.63233189,103.0697482,147.7964432,86.51573439,Morris_2013_SI1b
MOPS,6,H,103.2144978,121.6582243,68.41001935,102.7695503,122.105356,70.10645663,Morris_2013_SI1b
MOPS,10,H,33.47694042,65.13959081,41.9920754,34.04633134,63.211122,42.09752199,Morris_2013_SI1b
MOPS,15,H,20.80304158,42.79828704,30.16098838,16.74306058,43.76305522,29.75555284,Morris_2013_SI1b
HEPES,0,H,25.76913722,23.02849717,-5.95915346,25.23006151,-9.289353179,-18.01031007,Morris_2013_SI1b
HEPES,1,H,68.32252706,61.84039647,50.5677527,69.23367042,62.37474057,46.26295764,Morris_2013_SI1b
HEPES,3,H,217.2982561,190.2062896,124.5694648,218.76369,190.5721193,125.2175435,Morris_2013_SI1b
HEPES,6,H,351.6025228,132.1464441,209.8566165,349.4733273,134.9147715,208.6474725,Morris_2013_SI1b
HEPES,10,H,54.5080844,61.58943509,51.13503349,52.06028727,62.05647926,52.53978251,Morris_2013_SI1b
HEPES,15,H,34.17005256,43.08934784,39.6272902,31.27882953,43.10199642,39.62625109,Morris_2013_SI1b
TAPS,0,H,0.78538589,-5.662632802,1.956381366,15.72689357,-22.83065665,4.656982427,Morris_2013_SI1b
TAPS,1,H,28.01175661,34.32009203,44.52329759,25.85983826,33.57199363,43.93699411,Morris_2013_SI1b
TAPS,3,H,47.17620297,64.90355579,98.64288762,46.7858679,64.91653779,98.83426266,Morris_2013_SI1b
TAPS,6,H,56.79600834,67.95584172,98.45951312,54.93216087,68.6976323,98.90389697,Morris_2013_SI1b
TAPS,10,H,13.65742477,15.68271225,12.85699165,12.78352518,14.93332333,11.9622714,Morris_2013_SI1b
TAPS,15,H,2.540812981,7.008666079,6.16267994,2.565716004,7.109245625,2.951766603,Morris_2013_SI1b
