Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource
Control,B,0,100,65,0,1,1,210.7676443,Morris_2013_f1b
Control,B,0,100,65,0,2,1,238.6911552,Morris_2013_f1b
Control,B,0,100,65,0,3,1,254.1929595,Morris_2013_f1b
Control,B,0,75,65,0,1,1,351.5911854,Morris_2013_f1b
Control,B,0,75,65,0,2,1,303.8041493,Morris_2013_f1b
Control,B,0,75,65,0,3,1,245.5437539,Morris_2013_f1b
Control,B,0,50,65,0,1,1,193.5369326,Morris_2013_f1b
Control,B,0,50,65,0,2,1,307.9445625,Morris_2013_f1b
Control,B,0,50,65,0,3,1,281.6589146,Morris_2013_f1b
Control,B,0,25,65,0,1,1,385.3485329,Morris_2013_f1b
Control,B,0,25,65,0,2,1,328.6172144,Morris_2013_f1b
Control,B,0,25,65,0,3,1,296.0065577,Morris_2013_f1b
Control,B,0,0,65,0,1,1,394.6962115,Morris_2013_f1b
Control,B,0,0,65,0,2,1,359.1940822,Morris_2013_f1b
Control,B,0,0,65,0,3,1,235.5232815,Morris_2013_f1b
HEPES,B,10,100,65,0,1,1,313.7793329,Morris_2013_f1b
HEPES,B,10,100,65,0,2,1,312.8119292,Morris_2013_f1b
HEPES,B,10,100,65,0,3,1,283.2496214,Morris_2013_f1b
HEPES,B,10,75,65,0,1,1,280.5953308,Morris_2013_f1b
HEPES,B,10,75,65,0,2,1,316.0918574,Morris_2013_f1b
HEPES,B,10,75,65,0,3,1,261.7701772,Morris_2013_f1b
HEPES,B,10,50,65,0,1,1,267.4606775,Morris_2013_f1b
HEPES,B,10,50,65,0,2,1,252.0097646,Morris_2013_f1b
HEPES,B,10,50,65,0,3,1,254.7303542,Morris_2013_f1b
HEPES,B,10,25,65,0,1,1,347.9601531,Morris_2013_f1b
HEPES,B,10,25,65,0,2,1,261.5703467,Morris_2013_f1b
HEPES,B,10,25,65,0,3,1,243.0276638,Morris_2013_f1b
HEPES,B,10,0,65,0,1,1,342.6847213,Morris_2013_f1b
HEPES,B,10,0,65,0,2,1,349.9421168,Morris_2013_f1b
HEPES,B,10,0,65,0,3,1,262.2515446,Morris_2013_f1b
Control,B,0,100,65,1,1,1,115.1865799,Morris_2013_f1b
Control,B,0,100,65,1,2,1,212.1184129,Morris_2013_f1b
Control,B,0,100,65,1,3,1,174.3302947,Morris_2013_f1b
Control,B,0,75,65,1,1,1,196.4104688,Morris_2013_f1b
Control,B,0,75,65,1,2,1,214.5714614,Morris_2013_f1b
Control,B,0,75,65,1,3,1,176.8561842,Morris_2013_f1b
Control,B,0,50,65,1,1,1,220.1944683,Morris_2013_f1b
Control,B,0,50,65,1,2,1,247.9710382,Morris_2013_f1b
Control,B,0,50,65,1,3,1,268.6201305,Morris_2013_f1b
Control,B,0,25,65,1,1,1,241.8616934,Morris_2013_f1b
Control,B,0,25,65,1,2,1,248.7690046,Morris_2013_f1b
Control,B,0,25,65,1,3,1,216.52448,Morris_2013_f1b
Control,B,0,0,65,1,1,1,264.7102594,Morris_2013_f1b
Control,B,0,0,65,1,2,1,266.9174005,Morris_2013_f1b
Control,B,0,0,65,1,3,1,231.8375485,Morris_2013_f1b
HEPES,B,10,100,65,1,1,1,460.8818392,Morris_2013_f1b
HEPES,B,10,100,65,1,2,1,450.4529605,Morris_2013_f1b
